OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036FE,2026-08-17T05:29:35.469600,14.40096531,.00194068,74.0253,156.1731,204.2806,317.9382,0,U,33971,999,91701,.13144791E-3,.389E-5,0
COSMOS 2251 DEB,1993-036FF,2026-08-17T14:54:01.626624,14.38484379,.01216138,73.9926,93.1277,202.9187,189.1225,0,U,33972,999,90636,.59886811E-3,.1965E-4,0
COSMOS 2251 DEB,1993-036FG,2026-08-17T14:55:27.732864,14.45597832,.00450995,74.0099,359.9723,119.5340,253.7932,0,U,33973,999,92182,.58239752E-4,.181E-5,0
COSMOS 2251 DEB,1993-036FJ,2026-08-16T20:11:22.078464,14.00843341,.01899598,73.8021,9.9497,100.0184,262.2443,0,U,33975,999,89289,.17217371E-3,.277E-5,0
COSMOS 2251 DEB,1993-036FP,2026-08-17T05:27:23.263776,14.59974417,.00287023,74.0199,307.1157,23.6367,7.5814,0,U,33980,999,92405,.21911275E-3,.1027E-4,0
COSMOS 2251 DEB,1993-036FR,2026-08-17T01:55:54.367104,14.61240555,.00754747,74.0667,248.2508,229.9868,156.1580,0,U,33982,999,92771,.1427909E-3,.7E-5,0
COSMOS 2251 DEB,1993-036FS,2026-08-17T04:15:22.053312,14.51482110,.0020233,74.0489,41.9388,80.8897,40.9719,0,U,33983,999,92218,.21234184E-3,.823E-5,0
COSMOS 2251 DEB,1993-036FT,2026-08-17T11:18:47.478240,14.68366983,.00235386,74.0047,227.8519,351.8268,163.0017,0,U,33984,999,92700,.37838856E-3,.2164E-4,0
COSMOS 2251 DEB,1993-036FV,2026-08-17T09:12:41.049216,14.44176666,.00425904,74.0339,202.2514,219.6823,293.2273,0,U,33986,999,91602,.32281558E-3,.1092E-4,0
COSMOS 2251 DEB,1993-036FZ,2026-08-17T09:37:21.081216,13.50284950,.04054646,73.9247,248.3003,222.8508,203.9411,0,U,33990,999,86072,.30391649E-3,.301E-5,0
COSMOS 2251 DEB,1993-036GB,2026-08-17T09:17:39.181920,14.68009998,.00549324,74.0201,219.2556,274.8806,156.0433,0,U,33992,999,92757,.32117322E-3,.185E-4,0
COSMOS 2251 DEB,1993-036GD,2026-08-17T02:14:50.465760,14.41356375,.00229669,74.0419,92.6114,170.3879,349.9042,0,U,33994,999,91983,.42035852E-4,.11E-5,0
COSMOS 2251 DEB,1993-036GE,2026-08-17T10:35:03.626016,14.35807556,.00604136,74.0604,25.7386,338.8245,21.0407,0,U,33995,999,91073,.32530595E-3,.935E-5,0
COSMOS 2251 DEB,1993-036GJ,2026-08-17T01:28:02.689536,14.88883517,.00403289,73.9139,95.1275,287.2734,72.4036,0,U,33999,999,92925,.54670316E-3,.5171E-4,0
COSMOS 2251 DEB,1993-036GL,2026-08-17T14:24:04.256064,14.37328060,.00209929,74.0382,185.7260,213.3288,261.3374,0,U,34001,999,91707,.92300601E-4,.25E-5,0
COSMOS 2251 DEB,1993-036GN,2026-08-16T10:45:59.154912,13.85057155,.02786529,74.0743,229.4688,284.2575,72.7754,0,U,34003,999,87840,.66404694E-3,.992E-5,0
COSMOS 2251 DEB,1993-036GP,2026-08-17T11:15:55.365984,14.50867407,.0029943,74.0320,207.7709,169.4124,190.7674,0,U,34004,999,91621,.44020644E-3,.1718E-4,0
COSMOS 2251 DEB,1993-036GQ,2026-08-17T04:08:56.175360,14.40469805,.00204941,74.0450,116.4244,179.0800,344.3811,0,U,34005,999,91941,.56205712E-4,.153E-5,0
